quote_datetime,expiration,strike,underlying_bid,bid,ask,ticker
2026-04-16 14:58:25,2026-05-08,75000.0,74846.72,3031.29216,3106.1388800000004,BTC
2026-04-16 14:58:25,2026-04-17,76000.0,74846.72,187.1168,209.570816,BTC
2026-04-16 14:58:25,2026-05-29,73000.0,74846.72,5388.963839999999,5501.23392,BTC
2026-04-16 14:58:25,2026-05-01,80000.0,74846.72,748.4672,785.89056,BTC
2026-04-16 14:58:25,2026-05-29,75000.0,74846.72,4341.10976,4378.53312,BTC
2026-04-16 14:58:25,2026-05-08,82000.0,74846.72,748.4672,823.3139199999999,BTC
2026-04-16 14:58:25,2027-03-26,190000.0,74846.72,486.50368,561.3504,BTC
2026-04-16 14:58:25,2026-12-25,110000.0,74846.72,2769.3286399999997,2881.59872,BTC
2026-04-16 14:58:25,2026-04-24,72000.0,74846.72,3555.2192,3742.3360000000002,BTC
2026-04-16 14:58:25,2026-04-24,75000.0,74846.72,1721.47456,1796.3212800000001,BTC
2026-04-16 14:58:25,2026-04-24,69000.0,74846.72,6100.007680000001,6249.701120000001,BTC
2026-04-16 14:58:25,2026-09-25,76000.0,74846.72,8644.79616,8719.642880000001,BTC
2026-04-16 14:58:25,2026-05-29,76000.0,74846.72,3854.60608,3892.02944,BTC
2026-04-16 14:58:25,2026-06-26,68000.0,74846.72,9804.920320000001,9992.03712,BTC
2026-04-16 14:58:25,2026-09-25,110000.0,74846.72,1085.27744,1160.12416,BTC
2026-04-16 14:58:25,2026-12-25,82000.0,74846.72,9168.7232,9318.41664,BTC
2026-04-16 14:58:25,2026-06-26,105000.0,74846.72,232.024832,254.478848,BTC
2026-04-16 14:58:25,2026-12-25,30000.0,74846.72,45881.03936,46030.7328,BTC
2026-04-16 14:58:25,2026-12-25,180000.0,74846.72,224.54016000000001,276.932864,BTC
2026-04-16 14:58:25,2026-04-19,75500.0,74846.72,636.19712,673.6204799999999,BTC
2026-04-16 14:58:25,2026-06-26,110000.0,74846.72,142.208768,164.66278400000002,BTC
2026-04-16 14:58:25,2026-06-26,62000.0,74846.72,14407.9936,14669.957120000001,BTC
2026-04-16 14:58:25,2026-06-26,145000.0,74846.72,14.969344000000001,22.454016,BTC
2026-04-16 14:58:25,2026-06-26,260000.0,74846.72,7.484672000000001,22.454016,BTC
2026-04-16 14:58:25,2026-05-01,90000.0,74846.72,44.908032,59.877376000000005,BTC
2026-04-16 14:58:25,2026-04-18,81000.0,74846.72,7.484672000000001,22.454016,BTC
2026-04-16 14:58:25,2026-09-25,45000.0,74846.72,31061.3888,31398.19904,BTC
2026-04-16 14:58:25,2026-05-01,76000.0,74846.72,2020.86144,2058.2848,BTC
2026-04-16 14:58:25,2026-04-18,77500.0,74846.72,119.75475200000001,142.208768,BTC
2026-04-16 14:58:25,2026-05-01,85000.0,74846.72,172.147456,179.632128,BTC
2026-04-16 14:58:25,2026-05-29,85000.0,74846.72,1122.7008,1160.12416,BTC
2026-04-16 14:58:25,2026-05-01,72000.0,74846.72,4228.83968,4378.53312,BTC
2026-04-16 14:58:25,2026-06-26,55000.0,74846.72,20620.271360000002,20844.811520000003,BTC
2026-04-16 14:58:25,2027-03-26,96000.0,74846.72,7222.70848,7409.82528,BTC
2026-04-16 14:58:25,2026-09-25,40000.0,74846.72,35739.3088,35926.4256,BTC
2026-04-16 14:58:25,2026-09-25,155000.0,74846.72,104.785408,134.724096,BTC
2026-04-16 14:58:25,2026-04-17,70500.0,74846.72,4303.6864000000005,4490.8032,BTC
2026-04-16 14:58:25,2026-06-26,70000.0,74846.72,8457.67936,8607.372800000001,BTC
2026-04-16 14:58:25,2026-12-25,125000.0,74846.72,1459.51104,1571.78112,BTC
2026-04-16 14:58:25,2027-03-26,95000.0,74846.72,7484.6720000000005,7671.788799999999,BTC
2026-04-16 14:58:25,2026-12-25,70000.0,74846.72,14520.26368,14744.80384,BTC
2026-04-16 14:58:25,2026-09-25,140000.0,74846.72,217.055488,246.994176,BTC
2026-04-16 14:58:25,2026-12-25,100000.0,74846.72,4303.6864000000005,4415.95648,BTC
2026-04-16 14:58:25,2026-04-17,67000.0,74846.72,7784.05888,7971.17568,BTC
2026-04-16 14:58:25,2026-04-24,50000.0,74846.72,23165.05984,26271.19872,BTC
2026-04-16 14:58:25,2026-12-25,105000.0,74846.72,3442.94912,3555.2192,BTC
2026-04-16 14:58:25,2026-04-17,75500.0,74846.72,314.356224,344.294912,BTC
2026-04-16 14:58:25,2026-04-20,76500.0,74846.72,449.08032000000003,523.92704,BTC
2026-04-16 14:58:25,2026-04-20,83000.0,74846.72,14.969344000000001,22.454016,BTC
2026-04-16 14:58:25,2026-12-25,220000.0,74846.72,82.33139200000001,127.239424,BTC
2026-04-16 14:58:25,2027-03-26,80000.0,74846.72,12274.86208,12499.402240000001,BTC
2026-04-16 14:58:25,2026-05-29,48000.0,74846.72,26982.24256,27244.20608,BTC
2026-04-16 14:58:25,2026-04-24,68000.0,74846.72,6998.16832,7260.13184,BTC
